date,rate,review,weekday
20-07-05,5.0,콜라를 항상 집에 쟁여 놓는데 롯데온 푸쉬 메세지 보고 착한가격에 잘 구매하였습니다. 탄산이 생각 날 때 잘 마시고 있어요.,Sunday
24-01-08,5.0,대용량으로 늘 쟁여두고 먹어요 사이즈 작아서 좋아요,Monday
23-12-04,5.0,저렴한 가격에 잘샀습니다 많이 파세요,Monday
23-12-03,5.0,가격 좋고 배송 굿굿,Sunday
23-12-03,5.0,가격 저렴히 잘샀어요감사,Sunday
23-12-02,5.0,거의 다먹어서 또 주문해야 겠어요.,Saturday
23-12-02,5.0,꼭 60개 2박스 주문합니다. 그래도 금방 먹어요.,Saturday
23-12-02,5.0,떨어지기 전에 언제나 쟁여놓아야 해요!,Saturday
23-12-02,5.0,콜라는 필수죠! 언제나,Saturday
23-12-01,5.0,유통기한도 길고 배송 잘받았습니다.,Friday
22-07-07,2.0,찍그러지고 하나는 터짐,Thursday
21-09-14,1.0,캔 하나가 완전 파손되어서 콜라가 다 쏟아진 채로 배송되었습니다.,Tuesday
21-09-11,1.0,왠만해서는 캔음료가 터질일이 없을텐데 박스에 한쪽면에있던것들이 찌그러지고 심지어 터진것도있네요 유통중에 너무 심하게 던진모양입니다,Saturday
21-08-24,5.0,항상 저렴하게 잘 사서 먹고있어요 작은캔이라 한번따도 부담없는 한입입니다,Tuesday
21-08-08,1.0,5개정도가 완젼 찌그러져서 왔어요ㅠ,Sunday
21-08-03,1.0,하나 터져서 왔네요,Tuesday
21-02-27,1.0,30개만 와서 놀람. 포장도 없이 보내면서 송장에는 60개하고 30개만 보내고 실수라고.. 실망입니다.,Saturday
20-07-09,5.0,굿굿 좋은 제품  감사합니다,Thursday
20-07-04,5.0,배송도빠르고 안전하게 잘받았습니다. 유통기한도 넉넉해서 좋아요,Saturday
24-02-16,5.0,매월 정기적으로 구매히고 있네요.20할인 착한 가격에요,Friday
24-01-10,5.0,매달 정기적으로 구매합니다.항상 좋은 가격에 구매하니 쟁여놓을 수 밖에요,Wednesday
24-01-08,5.0,사이즈 작아서 탄산 빠질 염려 없이 한번에 먹기 좋아요,Monday
23-12-17,5.0,좋은 가격에 정기적으로 구매합니다,Sunday
23-12-13,5.0,콜라는 역시 코카콜라 입니다. 말이 필요없는 콜라,Wednesday
23-11-29,5.0,너무 잘 마시고 있습니다,Wednesday
23-11-27,5.0,코카콜라는 최애 음료입니다,Monday
23-11-23,5.0,좋아요 맛나게 먹고 있어요,Thursday
23-11-07,5.0,쎄일해서 구입 했어요,Tuesday
23-11-06,5.0,정기적으로 구매하는데 레드 페스티발 행사로 가격이 더 착해졌네요,Monday
23-11-06,5.0,정기적으로 구매하는데 레드 페스티발 행사로 가격이 더 착해졌네요,Monday
23-10-12,5.0,매달 정기적으로 할인 받아서 구매하고 있어요,Thursday
23-10-05,5.0,재구매 입니다. 콜라는 역시 코카콜라,Thursday
23-09-09,5.0,매달 정기적으로 할인할때 구매하고 있어요.만족도가 높네요,Saturday
23-09-09,5.0,매달 정기적으로 할인할때 구매하고 있어요.만족도가 높네요,Saturday
23-08-09,5.0,직원들 간식으로 정기 구매를 하고 있습니다.이번에도 좋은 할인 행사로 착한 가격에 구매했네요,Wednesday
23-08-09,5.0,직원들 간식으로 정기 구매를 하고 있습니다.이번에도 좋은 할인 행사로 착한 가격에 구매했네요,Wednesday
23-07-31,5.0,배송도 빠르고 가격도 착합니다 타온라인몰보다 저렴해요,Monday
23-07-08,5.0,저렴하게 잘 구입햇습니다.,Saturday
23-07-05,5.0,퍼스트먼데이에 항상 할인 행사를 더해 좋은 가격으로 구매하네요,Wednesday
23-07-05,5.0,퍼스트먼데이에 항상 할인 행사를 더해 좋은 가격으로 구매하네요,Wednesday
23-07-01,5.0,가격도 착하고 배송도 빨라요,Saturday
23-06-18,5.0,배송도빠르고 가격도좋아요,Sunday
23-06-18,5.0,착한가격 빠른배송 아주 마음에 듭니다,Sunday
23-06-08,5.0,배송도 빠르고 20 할인받아서 착한 가격에 구매했네요,Thursday
23-06-08,5.0,배송도 빠르고 20 할인받아서 착한 가격에 구매했네요,Thursday
23-06-02,5.0,시원한 코카콜라 맛나요,Friday
23-05-31,5.0,재구매예요 배송도빠르고,Wednesday
23-05-03,5.0,정기적으로 구입하고 있습니다.할인 행사때마다 쟁여둡니다,Wednesday
23-05-03,5.0,할인받아 항상 좋은 가격에 정기적으로 구입하고 있어요,Wednesday
23-04-30,5.0,배송도빠르고 가격도 아주 착합니다,Sunday
23-04-24,5.0,도저히 끊을 수 없는 맛  포장 깔끔 하고 가격 좋고 배송 정말 빠릅니다,Monday
23-04-08,5.0,배송도빠르고 가격도 괜찮음,Saturday
23-04-08,5.0,배송도 빠르고가격도 착합니다 요즘 콜라값이 많이 올랐네요,Saturday
23-04-06,5.0,20 할인과 각종 혜택 더해 좋은 가격에 구매했네요,Thursday
23-03-28,5.0,배송 빠르고 좋아서 계속 구매중입니다 강추,Tuesday
