date,rate,review,weekday
25-07-19,5.0,배송 빨라요,Saturday
25-07-09,5.0,언제나 배송빠르고 맛나네요,Wednesday
25-07-09,5.0,역시 배송도 빠르고 맛있어용,Wednesday
25-07-13,5.0,저렴 하게 잘먹고 잇습니다.,Sunday
25-07-05,5.0,배송도 빠르고 좋아요 감사합니다,Saturday
25-07-04,5.0,빠른배송 감사합니다.  잘마실께요,Friday
25-06-22,1.0,뭔가 잘못 된거 같아요 오픈 할때 탄산 소리도 없어 이상 했어요 맛은 역시 탄산이 없는 맛이 였어요 뭐가 문제 일까요,Sunday
25-07-05,5.0,여름에 한박스 사놓고 시원하게 해놓고 퇴근하고 한캔하면 기분이 좋아집니다.,Saturday
25-07-03,5.0,"공식몰 구매가 답이네요. 찌그러진 캔도 없고, 유통기한도 2027년으로 아주 넉넉합니다.",Thursday
25-07-08,5.0,자주 구매합니다  가격도 적당하고 배송도 안전하게 옵니다,Tuesday
25-07-02,5.0,빠른배송감사합니다  다른곳보다 저렴하게 샀어요,Wednesday
25-07-09,5.0,한번먹고 남기지않고 치우기 좋은 사이즈라 쟁여두고 먹고 있어요,Wednesday
25-07-14,5.0,떨어지지않게 구매하비니다,Monday
25-07-14,5.0,좋아요 잘 먹었어요,Monday
25-07-02,5.0,울집 두남자들 탄산음료에 푹빠져있어  수시로 주문합니다  직영점에서 오니 믿을수있어요,Wednesday
25-06-26,5.0,항상 잘 왔는데 이번엔 모서리에 찍혀서 몇캔이 찌그러져서 왔네요. 항상 잘먹고 있습니다.,Thursday
25-07-09,5.0,유통기한 넉넉하고 잘배성 되어 왔네요,Wednesday
25-07-15,5.0,콜라는 코카콜라죠 너무 맛잇죠,Tuesday
25-07-15,5.0,"콜라는 떨어지면 아니됩니다,,",Tuesday
25-07-17,5.0,잘 받았습니다,Thursday
25-07-04,5.0,누구나 내외국인 남녀노소 다 좋아하는 콜라! 사무실 냉장고에 떨어지지 않게 항상 챙겨 놓고 있어요,Friday
25-07-02,5.0,좋은가격에 좋은제품 잘구매했네요 굿초이스 굿,Wednesday
25-06-16,5.0,일요배송으로 되어있어 토요일 16시쯤 주문했는데 정말 일요일에 배송받았네요! 외출하고 돌아왔더니 현관앞에!  중간 중간 배송안내 메세지도 받게 되어 아주 기분좋은 구매가 되었네요!,Monday
25-07-09,5.0,한번에 마시게 좋은 사이즈라 좋습니다,Wednesday
25-07-17,5.0,콜라가 리뷰가 필요한가?,Thursday
25-07-07,5.0,싸고 빠른 배송에 만족합니다  여름나기에 필수품입니다,Monday
25-07-11,5.0,탄산이 많아서 너무 좋아요,Friday
25-07-09,5.0,배송포장좋아요 재구매,Wednesday
25-07-10,5.0,탄산이 오래 유지돼서 맛나요,Thursday
25-07-11,5.0,맛있어요 좋아용,Friday
25-07-08,5.0,용량도 적당하고 포장도 꼼꼼하게 배송 상태도 만족합니다,Tuesday
25-07-10,5.0,빠른 배송 감사합니다.,Thursday
25-07-05,5.0,배송빠르고 저렴하게 잘샀어요,Saturday
25-07-12,5.0,"포장, 배송 모두 만족입니다.",Saturday
25-07-16,5.0,맛있습니다  굿,Wednesday
25-06-17,5.0,유통기한 넉넉하고 배송 빨라요 여기도 코크직영인데 유통업체마다 배송오는게 다른게 좀 아쉽지만 터져도 재배송바로 해주셔서 만족합니다,Tuesday
25-07-10,5.0,배송 빠르고 좋아요,Thursday
25-07-03,5.0,피자나 치킨 간식에 꼭 필요한 우리집 콜라 역씨 콜라는 코카콜라가 짱입니다요,Thursday
25-07-10,5.0,탄산도 좋고 한 번먹는 양 좋아요.,Thursday
25-07-13,5.0,한번에 먹기 좋은양입니다,Sunday
25-07-09,5.0,빠른배송 감사합니다,Wednesday
25-07-08,5.0,빨라요 자주 이용할게요,Tuesday
25-07-08,5.0,샀던기록있어여 다른거 찾기 귗낳으니 여기서 사는중,Tuesday
25-07-17,5.0,다 마시고 없어요,Thursday
25-07-11,5.0,본가에 보냈는데 잘 도착한거 같네요,Friday
25-07-13,5.0,재구매 적당히 잘 먹어요,Sunday
