date,star_rate,review
2022.02.14,3.0,박스바닥이 *어 왔길래 열어보니 캔 1개 아래 옆부분이 찌그러져서 콜라가 샜네요. 박스포장되어있어서 운송과정 중의 문제는 아니고 이미 준비과정에서 잘못됐을텐데 확인을 못하신걸까요? 조심하면 좋을거 같아요~~~~
2022.01.07,3.0,물건은 싸고 좋은데 배송이 너무 하네요 사무실에 먹는거 주문했는데 직접받는다고 했는데온다는 문자도 없고 사무실문앞에 두고갔네요 15상자 여자인내가 다 옴겼네요 죽는줄 알았습니다 너무하네요.그렇게 두고갈꺼 뒤에 문자폭탄은 왜 보내느지 아휴
2022.01.06,4.0,몇개가 터져서 왓네요. 박스도 좀 *엇어요
2021.12.27,5.0,"정말 좋은가격에
배송도 빠르고,
찌그러짐앖이 배송됐어요!!"
2021.12.13,5.0,조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 조아요 맛나요 굿
2021.08.30,5.0,"저렴하게 구매했어요~^^
콜라를 매일 먹진않아도
떨어지면 불안하고 허전하고 체한기분~

있지만 안먹는것과
없어서 못먹는 것의 기분은 넘나 하늘과 땅차이.

딱 한먹마시기 좋은 사이즈라
남기는 것도 없어요~^^"
2021.07.27,5.0,코카콜라는 사랑입니다 증정품도 감사합니다ㅎㅎ
2021.07.01,5.0,"혜택이란 혜택은 다 받고 싸게 샀어요
항상 행사할때마다 한박스씩 쟁여놓는 상품이에요
기존 편의점에서 파는것보다 작은캔이라 한번에 먹기 좋아요
편의점 캔은 넘 양이 많은...
배송도 빠르고 찌그러진것 없이 잘 왔습니다!"
2021.03.24,5.0,한번에 마시기 딱 좋은 용량이예요 유통기한 넉넉하고(어짜피 금방 먹지만) 박스포장되서 안찌그러지고 잘 왔어요
2021.01.24,3.0,한두개도 아니고 6개정도 찌그러져서 왓네요 -.-
2020.07.18,5.0,"용량이랑 갯수 안족합니다
재구매의사이습니다"
2021.03.23,5.0,저렴하게 잘샀습니다요
2020.10.11,5.0,빠른배송 좋아요. 한번에 먹기좋아요
2020.07.05,5.0,"콜라를 항상 집에 쟁여 놓는데 롯데온 푸쉬 메세지 보고 착한가격에 잘 구매하였습니다.
탄산이 생각 날 때 잘 마시고 있어요."
2024.01.08,5.0,"대용량으로 늘 쟁여두고 먹어요
사이즈 작아서 좋아요"
2023.12.04,5.0,저렴한 가격에 잘샀습니다 많이 파세요
2023.12.03,5.0,가격 좋고 배송 굿굿
2023.12.03,5.0,가격 저렴히 잘샀어요감사
2023.12.02,5.0,거의 다먹어서 또 주문해야 겠어요.
2023.12.02,5.0,꼭 60개 2박스 주문합니다. 그래도 금방 먹어요.
2023.12.02,5.0,떨어지기 전에 언제나 쟁여놓아야 해요!
2023.12.02,5.0,콜라는 필수죠! 언제나~
2023.12.01,5.0,유통기한도 길고 배송 잘받았습니다.
2022.07.07,2.0,찍그러지고 하나는 터짐
2021.09.14,1.0,"캔 하나가 완전 파손되어서 콜라가 다 쏟아진 채로
배송되었습니다."
2021.09.11,1.0,왠만해서는 캔음료가 터질일이 없을텐데 박스에 한쪽면에있던것들이 찌그러지고 심지어 터진것도있네요 유통중에 너무 심하게 던진모양입니다
2021.08.24,5.0,"항상 저렴하게 잘 사서 먹고있어요
작은캔이라 한번따도 부담없는 한입입니다 ㅋ"
2021.08.08,1.0,5개정도가 완젼 찌그러져서 왔어요ㅠ
2021.08.03,1.0,하나 터져서 왔네요
2021.02.27,1.0,"30개만 와서 놀람.
포장도 없이 보내면서 송장에는 60개하고 30개만 보내고 실수라고..
실망입니다."
2020.07.09,5.0,굿굿 좋은 제품 👍 감사합니다
2020.07.04,5.0,배송도빠르고 안전하게 잘받았습니다. 유통기한도 넉넉해서 좋아요
2024.02.16,5.0,매월 정기적으로 구매히고 있네요.20%할인 착한 가격에요
2024.01.10,5.0,매달 정기적으로 구매합니다.항상 좋은 가격에 구매하니 쟁여놓을 수 밖에요
2024.01.08,5.0,사이즈 작아서 탄산 빠질 염려 없이 한번에 먹기 좋아요
2023.12.17,5.0,좋은 가격에 정기적으로 구매합니다
2023.12.13,5.0,"콜라는 역시 코카콜라 입니다.
말이 필요없는 콜라"
2023.11.29,5.0,너무 잘 마시고 있습니다
2023.11.27,5.0,코카콜라는 최애 음료입니다
2023.11.23,5.0,좋아요 맛나게 먹고 있어요
2023.11.07,5.0,쎄일해서 구입 했어요^^
2023.11.06,5.0,정기적으로 구매하는데 레드 페스티발 행사로 가격이 더 착해졌네요
2023.11.06,5.0,정기적으로 구매하는데 레드 페스티발 행사로 가격이 더 착해졌네요
2023.10.12,5.0,매달 정기적으로 할인 받아서 구매하고 있어요
2023.10.05,5.0,"재구매 입니다.
콜라는 역시 코카콜라"
2023.09.09,5.0,매달 정기적으로 할인할때 구매하고 있어요.만족도가 높네요
2023.09.09,5.0,매달 정기적으로 할인할때 구매하고 있어요.만족도가 높네요
2023.08.09,5.0,직원들 간식으로 정기 구매를 하고 있습니다.이번에도 좋은 할인 행사로 착한 가격에 구매했네요
2023.08.09,5.0,직원들 간식으로 정기 구매를 하고 있습니다.이번에도 좋은 할인 행사로 착한 가격에 구매했네요
2023.07.31,5.0,"배송도 빠르고 가격도 착합니다
타온라인몰보다 저렴해요"
2023.07.08,5.0,저렴하게 잘 구입햇습니다.
2023.07.05,5.0,퍼스트먼데이에 항상 할인 행사를 더해 좋은 가격으로 구매하네요
2023.07.05,5.0,퍼스트먼데이에 항상 할인 행사를 더해 좋은 가격으로 구매하네요
2023.07.01,5.0,가격도 착하고 배송도 빨라요
2023.06.18,5.0,배송도빠르고 가격도좋아요
2023.06.18,5.0,착한가격 빠른배송 아주 마음에 듭니다^^
2023.06.08,5.0,배송도 빠르고 20% 할인받아서 착한 가격에 구매했네요
2023.06.08,5.0,배송도 빠르고 20% 할인받아서 착한 가격에 구매했네요
2023.06.02,5.0,시원한 코카콜라 맛나요
2023.05.31,5.0,재구매예요 배송도빠르고
2023.05.03,5.0,정기적으로 구입하고 있습니다.할인 행사때마다 쟁여둡니다
2023.05.03,5.0,할인받아 항상 좋은 가격에 정기적으로 구입하고 있어요
2023.04.30,5.0,배송도빠르고 가격도 아주 착합니다
2023.04.24,5.0,"도저히 끊을 수 없는 맛 ㅠㅠ
포장 깔끔 하고
가격 좋고
배송 정말 빠릅니다"
2023.04.08,5.0,배송도빠르고 가격도 괜찮음 ^^
2023.04.08,5.0,"배송도 빠르고가격도 착합니다
요즘 콜라값이 많이 올랐네요"
2023.04.06,5.0,20% 할인과 각종 혜택 더해 좋은 가격에 구매했네요
2023.03.28,5.0,"배송 빠르고 좋아서 계속 구매중입니다
강추"
2023.03.23,5.0,쎄일해서 얼른샀어요~~^^
2023.03.09,5.0,콜라값이 많이 올랐는데 그중 가장 저렴해보여서 샀어요
2023.03.08,5.0,퍼스트먼데이 행사때마다 좋은 가격에 정기적으로 구매하게 되네요
2023.02.26,5.0,"배송 빠르고 가격좋고
계속 구매중입니다"
2023.02.24,5.0,배송도 빠르고 가격도 착해요
2023.02.22,5.0,매번 시켜 먹네요 맛나요~~
2023.02.20,5.0,아주 좋습니다~재구매할예정이에요
2023.02.16,5.0,"맛좋고 가격싸고
배송 빠르고 좋습니다"
